score,decile,direction,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
selection_score,7,10_is_highest,154963,725,61567,0.397301291275982,0.39486749055350606,-0.6631054812575171,-0.6045848670131413,0.6234497953926894,,
selection_score,8,10_is_highest,155405,725,63959,0.41156333451304655,0.4091188324560441,-0.46184713369008495,-0.5279751442852807,0.7114044592162378,,
selection_score,9,10_is_highest,154924,725,64932,0.4191216338333635,0.4166666902287964,-0.3730198478364114,-0.48503721363060115,0.7550058422294887,,
selection_score,10,10_is_highest,157530,725,66774,0.42388116549228716,0.42144274321576947,-0.3268891260665272,-0.4208938945002514,0.7678244786884403,,
legacy_composite_rank,1,10_is_highest,152955,725,19687,0.12871105880814618,0.12704213395071548,-6.866489661681444,-10.0,0.045904487461029785,,
legacy_composite_rank,2,10_is_highest,155398,725,36041,0.23192705182820886,0.22983522610085982,-4.431448977184236,-3.5554067404712226,0.1228619642624268,,
legacy_composite_rank,3,10_is_highest,154931,725,45120,0.291226416921081,0.2889693264356838,-3.0583700544861903,-1.8227058387033255,0.2071252529804253,,
legacy_composite_rank,4,10_is_highest,155433,725,51255,0.32975622937214105,0.3274232968633504,-2.130203419545271,-1.2345309655556411,0.30095537946491,,
legacy_composite_rank,5,10_is_highest,155962,725,56071,0.359517061848399,0.3571390397682762,-1.460411059543963,-0.9162126045411332,0.4060529001272028,,
legacy_composite_rank,6,10_is_highest,154381,725,58620,0.37970993839915534,0.3772920725368983,-0.9735483069824592,-0.7309557892838101,0.5189861394949152,,
legacy_composite_rank,7,10_is_highest,154967,725,61524,0.3970135577251931,0.394580096599482,-0.6752498845422522,-0.6047472935227836,0.6167219605038249,,
legacy_composite_rank,8,10_is_highest,155422,725,63978,0.4116405656856816,0.409196126323885,-0.47256607984557875,-0.5278693990095338,0.7071916408194658,,
legacy_composite_rank,9,10_is_highest,154918,725,65169,0.42066770807782183,0.41821142909865655,-0.37710389722778037,-0.4951565347971141,0.7586286315851851,,
legacy_composite_rank,10,10_is_highest,157523,725,66896,0.42467449197894913,0.42223539600968846,-0.33824192271241316,-0.4369210928444276,0.7698232435969017,,
